combo_dir,prefix,scenario,iteration,leader_killed,downtime_s,failed_queries,status,session_folder
02-consul-dns,prb-02,switchover,12,node1,3.8,35,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_stop,13,node2,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_kill,14,node1,30.2,140,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,switchover,15,node3,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
03-vip-manager-poll,prb-03,hard_stop,1,node1,1.0,10,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_kill,2,node2,23.0,8,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,switchover,3,node1,1.0,10,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_stop,4,node2,1.3,13,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_kill,5,node1,23.0,8,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,switchover,6,node3,1.1,11,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_stop,7,node1,1.2,12,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_kill,8,node2,23.0,8,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,switchover,9,node1,1.6,16,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_stop,10,node2,1.4,14,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_kill,11,node3,21.0,7,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,switchover,12,node2,1.0,10,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_stop,13,node1,1.2,12,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,hard_kill,14,node2,23.0,8,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
03-vip-manager-poll,prb-03,switchover,15,node1,1.0,10,SUCCESS,runner/results/03-vip-manager-poll/2026-04-29_232120
04-vip-patroni-callback,prb-04,hard_stop,1,node1,6.6,15,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_kill,2,node3,26.1,9,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,switchover,3,node2,4.1,39,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_stop,4,node1,6.6,16,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_kill,5,node3,26.1,9,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,switchover,6,node2,4.1,39,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_stop,7,node1,11.6,15,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_kill,8,node2,23.0,8,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,switchover,9,node3,4.1,39,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_stop,10,node1,6.5,15,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_kill,11,node3,26.2,9,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,switchover,12,node2,4.1,39,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_stop,13,node1,6.6,15,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,hard_kill,14,node3,26.2,9,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
04-vip-patroni-callback,prb-04,switchover,15,node2,4.1,39,SUCCESS,runner/results/04-vip-patroni-callback/2026-04-29_235814
06-haproxy-rest-polling,prb-06,hard_stop,1,node1,9.1,2,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_kill,2,node3,29.1,173,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,switchover,3,node1,6.5,12,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_stop,4,node2,9.2,3,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_kill,5,node1,27.7,167,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,switchover,6,node2,6.4,7,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_stop,7,node1,9.1,3,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_kill,8,node3,28.8,196,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,switchover,9,node2,5.7,10,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_stop,10,node1,8.6,4,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_kill,11,node2,33.1,207,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,switchover,12,node3,5.6,7,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_stop,13,node1,9.1,3,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,hard_kill,14,node3,32.0,202,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling,prb-06,switchover,15,node1,6.2,9,SUCCESS,runner/results/06-haproxy-rest-polling/2026-04-30_003611
06-haproxy-rest-polling-tuned,prb-06t,hard_stop,1,node1,9.1,3,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_kill,2,node3,21.7,94,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,switchover,3,node2,6.6,12,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_stop,4,node1,10.0,3,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_kill,5,node2,20.7,96,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,switchover,6,node3,6.7,16,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_stop,7,node1,9.1,2,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_kill,8,node2,18.5,78,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,switchover,9,node3,5.0,5,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_stop,10,node1,11.6,4,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_kill,11,node2,19.8,84,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,switchover,12,node1,5.6,6,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_stop,13,node2,9.2,3,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,hard_kill,14,node3,20.0,87,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
06-haproxy-rest-polling-tuned,prb-06t,switchover,15,node1,5.1,7,SUCCESS,runner/results/06-haproxy-rest-polling-tuned/2026-04-30_011406
07-consul-template-reload,prb-07,hard_stop,1,node2,5.2,2,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_kill,2,node1,26.2,141,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,switchover,3,node3,4.6,3,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_stop,4,node1,5.2,2,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_kill,5,node3,23.3,110,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,switchover,6,node1,4.6,5,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_stop,7,node2,5.2,2,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_kill,8,node3,23.4,147,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,switchover,9,node1,4.6,5,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_stop,10,node2,5.2,2,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_kill,11,node3,23.9,150,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,switchover,12,node2,4.7,4,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_stop,13,node1,5.2,2,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,hard_kill,14,node3,23.8,151,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
07-consul-template-reload,prb-07,switchover,15,node2,4.5,4,SUCCESS,runner/results/07-consul-template-reload/2026-04-30_015133
08-consul-template-runtime-api,prb-08,hard_stop,1,node2,10.1,4,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_kill,2,node1,30.7,186,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,switchover,3,node3,4.0,2,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_stop,4,node1,11.6,3,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_kill,5,node3,21.2,107,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,switchover,6,node2,4.5,4,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_stop,7,node1,11.5,4,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_kill,8,node2,28.3,193,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,switchover,9,node3,4.0,2,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_stop,10,node1,9.3,3,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_kill,11,node2,29.4,174,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,switchover,12,node1,3.1,1,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_stop,13,node2,9.2,3,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,hard_kill,14,node3,29.4,178,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
08-consul-template-runtime-api,prb-08,switchover,15,node2,3.9,2,SUCCESS,runner/results/08-consul-template-runtime-api/2026-04-30_022852
09-patroni-callback-haproxy,prb-09,hard_stop,1,node3,9.2,3,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_kill,2,node1,31.4,195,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,switchover,3,node2,6.9,13,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_stop,4,node1,9.4,3,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_kill,5,node2,25.2,134,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,switchover,6,node1,5.9,6,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_stop,7,node2,9.1,3,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_kill,8,node3,31.8,196,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,switchover,9,node2,6.6,15,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_stop,10,node1,11.7,3,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_kill,11,node2,27.9,165,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,switchover,12,node1,6.9,10,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_stop,13,node2,9.1,3,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,hard_kill,14,node1,30.8,217,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
09-patroni-callback-haproxy,prb-09,switchover,15,node3,6.2,12,SUCCESS,runner/results/09-patroni-callback-haproxy/2026-04-30_030700
